公司名称,股票代码,处罚年份,舞弊类型,公告日期,公告年份
东莞市众旺昕股权投资合伙企业(有限合伙),603111,2017,虚构利润、占用公司资产,2020/12/31,2020
中安科股份有限公司,600654,2017,其他,2022/3/9,2022
中路股份有限公司,600818,2017,重大遗漏、其他,2024/1/19,2024
九江嘉柏实业有限公司,2164,2017,虚假记载(误导性陈述)、其他,2022/3/15,2022
云南九天投资控股集团有限公司,600093,2017,虚构利润、虚假记载(误导性陈述)、重大遗漏,2022/4/20,2022
人福医药集团股份公司,600079,2017,推迟披露、其他; 推迟披露、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 推迟披露、占用公司资产、其他; 虚假记载(误导性陈述)、推迟披露、一般会计处理不当、其他,2024/10/23,2024
公证天业会计师事务所(特殊普通合伙),890,2017,一般会计处理不当、其他,2021/2/26,2021
兴源环境科技股份有限公司,300266,2017,虚假记载(误导性陈述)、一般会计处理不当、其他,2023/10/31,2023
北京信威科技集团股份有限公司,600485,2017,虚假记载(误导性陈述)、其他,2024/3/12,2024
北京合众思壮科技股份有限公司,2383,2017,虚构利润、其他,2023/5/22,2023
北京弘高创意建筑设计股份有限公司,2504,2017,虚假记载(误导性陈述)、其他,2024/6/7,2024
华民贸易有限公司,2473,2017,其他,2020/12/16,2020
南京红太阳股份有限公司,525,2017,虚假记载(误导性陈述)、一般会计处理不当,2022/3/15,2022
博天环境集团股份有限公司,603603,2017,虚构利润,2023/6/17,2023
和信会计师事务所(特殊普通合伙),300001,2017,一般会计处理不当、其他,2022/4/29,2022
四川省永鸿实业有限公司,408,2017,虚构利润,2020/12/18,2020
国创高科实业集团有限公司,2377,2017,重大遗漏、占用公司资产、一般会计处理不当、其他,2021/2/10,2021
大信会计师事务所(特殊普通合伙),300237,2017,虚假记载(误导性陈述)、其他,2023/2/27,2023
大唐高鸿网络股份有限公司,851,2017,虚构利润、虚假记载(误导性陈述),2025/8/9,2025
太原重型机械集团有限公司,600169,2017,重大遗漏、占用公司资产、其他,2023/12/14,2023
太原重工股份有限公司,600169,2017,重大遗漏、占用公司资产、其他,2023/12/14,2023
宁波东力股份有限公司,2164,2017,虚假记载(误导性陈述)、其他,2022/3/15,2022
宁波圣莱达电器股份有限公司,2473,2017,其他,2020/12/16,2020
安信信托股份有限公司,600816,2017,推迟披露、其他,2022/6/10,2022
宜华生活科技股份有限公司,600978,2017,虚假记载(误导性陈述)、重大遗漏,2021/11/8,2021
山东美晨生态环境股份有限公司,300237,2017,虚假记载(误导性陈述)、其他,2022/12/7,2022
山东英达钢结构有限公司,760,2017,虚假记载(误导性陈述)、占用公司资产,2021/7/16,2021
山东龙力生物科技股份有限公司,2604,2017,虚列资产、虚假记载(误导性陈述)、推迟披露、重大遗漏、擅自改变资金用途、其他,2021/1/13,2021
常州誉华企业管理有限公司,760,2017,虚假记载(误导性陈述)、占用公司资产,2021/7/16,2021
广东星徽精密制造股份有限公司,300464,2017,重大遗漏、其他,2021/10/11,2021
广东柏堡龙股份有限公司,2776,2017,虚构利润、虚假记载(误导性陈述),2021/10/30,2021
广东紫晶信息存储技术股份有限公司,688086,2017,虚构利润、其他,2023/4/21,2023
广东贤丰控股有限公司,2141,2017,推迟披露、其他,2021/1/6,2021
广州市香雪制药股份有限公司,300147,2017,推迟披露、重大遗漏、其他,2025/8/16,2025
广誉远中药股份有限公司,600771,2017,虚构利润、虚假记载(误导性陈述)、其他,2024/3/26,2024
延安必康制药股份有限公司,2411,2017,虚假记载(误导性陈述)、重大遗漏、占用公司资产,2020/8/18,2020
徐州海伦哲专用车辆股份有限公司,300201,2017,虚假记载(误导性陈述)、其他,2023/5/4,2023
恒宝股份有限公司,2104,2017,虚构利润、其他,2023/9/8,2023
恒泰艾普集团股份有限公司,300157,2017,一般会计处理不当,2021/5/25,2021
斯太尔动力股份有限公司,760,2017,虚假记载(误导性陈述)、占用公司资产,2021/7/16,2021
新海宜科技集团股份有限公司,2089,2017,虚构利润、虚假记载(误导性陈述)、其他,2024/2/6,2024
新疆万源汇金投资控股有限公司,600145,2017,重大遗漏、占用公司资产、其他,2022/4/27,2022
新疆亿路万源实业控股股份有限公司,600145,2017,重大遗漏、占用公司资产、其他,2022/4/27,2022
新疆同济堂健康产业股份有限公司,600090,2017,虚构利润、虚假记载(误导性陈述)、推迟披露、重大遗漏、占用公司资产,2022/4/12,2022
新疆机械研究院股份有限公司,300159,2017,虚构利润、虚列资产、虚假记载(误导性陈述)、其他,2023/1/19,2023
昆明川金诺化工股份有限公司,300505,2017,虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述); 虚假记载(误导性陈述)、重大遗漏、一般会计处理不当; 虚假记载(误导性陈述)、重大遗漏、一般会计处理不当; 一般会计处理不当、其他,2022/9/24,2022
易见供应链管理股份有限公司,600093,2017,虚构利润、虚假记载(误导性陈述)、重大遗漏,2022/4/20,2022
星期六股份有限公司,2291,2017,重大遗漏、其他; 推迟披露、其他; 虚假记载(误导性陈述)、推迟披露、重大遗漏、一般会计处理不当、其他; 虚假记载(误导性陈述)、推迟披露、重大遗漏、其他; 其他,2021/2/24,2021
星美国际影院有限公司,2473,2017,其他,2020/12/16,2020
朗源股份有限公司,300175,2017,虚列资产,2023/4/26,2023
